Prime Minister,From,To
Jawaharlal Nehru,15-08-1947,27-05-1964
Gulzarilal Nanda,27-05-1964,09-06-1964
Lal Bahadur Shastri,09-06-1964,11-01-1966
Gulzarilal Nanda,11-01-1966,24-01-1966
Indira Gandhi,24-01-1966,24-03-1977
Morarji Desai,24-03-1977,28-07-1979
Charan Singh,28-07-1979,14-01-1980
Indira Gandhi,14-01-1980,31-10-1984
Rajiv Gandhi,31-10-1984,02-12-1989
Vishwanath Pratap Singh,02-12-1989,10-11-1990
Chandra Shekhar,10-11-1990,21-06-1991
P V Narasimha Rao,21-06-1991,16-05-1996
Atal Bihari Vajpayee,16-05-1996,01-06-1996
H D Deve Gowda,01-06-1996,21-04-1997
Inder Kumar Gujral,21-04-1997,19-03-1998
Atal Bihari Vajpayee,19-03-1998,22-05-2004
Manmohan Singh,22-05-2004,26-05-2014
Narendra Modi,26-05-2014,26-05-2024
